"province","variable","value","year"
"A Coruña","Total de nacimientos","41","2008"
"Cuenca","Total de nacimientos","19","2008"
"Girona","Total de nacimientos","58","2008"
"Granada","Total de nacimientos","136","2008"
"Guadalajara","Total de nacimientos","21","2008"
"Gipuzkoa","Total de nacimientos","18","2008"
"Huelva","Total de nacimientos","80","2008"
"Huesca","Total de nacimientos","15","2008"
"Jaén","Total de nacimientos","84","2008"
"León","Total de nacimientos","22","2008"
"Lleida","Total de nacimientos","47","2008"
"La Rioja","Total de nacimientos","26","2008"
"Lugo","Total de nacimientos","12","2008"
"Madrid","Total de nacimientos","651","2008"
"Malaga","Total de nacimientos","198","2008"
"Murcia","Total de nacimientos","276","2008"
"Navarra","Total de nacimientos","72","2008"
"Ourense","Total de nacimientos","24","2008"
"Asturias","Total de nacimientos","59","2008"
"Palencia","Total de nacimientos","8","2008"
"Las Palmas","Total de nacimientos","141","2008"
"Pontevedra","Total de nacimientos","34","2008"
"Salamanca","Total de nacimientos","30","2008"
"Tenerife","Total de nacimientos","83","2008"
"Cantabria","Total de nacimientos","25","2008"
"Segovia","Total de nacimientos","23","2008"
"Sevilla","Total de nacimientos","285","2008"
"Soria","Total de nacimientos","10","2008"
"Tarragona","Total de nacimientos","71","2008"
"Teruel","Total de nacimientos","5","2008"
"Toledo","Total de nacimientos","73","2008"
"Valencia","Total de nacimientos","269","2008"
"Valladolid","Total de nacimientos","51","2008"
"Bizkaia","Total de nacimientos","61","2008"
"Zamora","Total de nacimientos","10","2008"
"Zaragoza","Total de nacimientos","76","2008"
"Ceuta","Total de nacimientos","16","2008"
"Melilla","Total de nacimientos","14","2008"
"España","Total de nacimientos","4586","2008"
"Álava","Tasa de nacimientos","0.238","2008"
"Albacete","Tasa de nacimientos","0.381","2008"
"Alicante","Tasa de nacimientos","0.395","2008"
"Almería","Tasa de nacimientos","0.518","2008"
"Ávila","Tasa de nacimientos","0.253","2008"
"Badajoz","Tasa de nacimientos","0.343","2008"
"Baleares","Tasa de nacimientos","0.294","2008"
"Barcelona","Tasa de nacimientos","0.245","2008"
"Burgos","Tasa de nacimientos","0.341","2008"
"Cáceres","Tasa de nacimientos","0.179","2008"
"Cádiz","Tasa de nacimientos","0.48","2008"
"Castellón","Tasa de nacimientos","0.481","2008"
"Ciudad Real","Tasa de nacimientos","0.422","2008"
"Córdoba","Tasa de nacimientos","0.421","2008"
"A Coruña","Tasa de nacimientos","0.153","2008"
"Cuenca","Tasa de nacimientos","0.295","2008"
"Girona","Tasa de nacimientos","0.29","2008"
"Granada","Tasa de nacimientos","0.439","2008"
"Guadalajara","Tasa de nacimientos","0.316","2008"
"Gipuzkoa","Tasa de nacimientos","0.111","2008"
"Huelva","Tasa de nacimientos","0.484","2008"
"Huesca","Tasa de nacimientos","0.269","2008"
"Jaén","Tasa de nacimientos","0.337","2008"
"León","Tasa de nacimientos","0.189","2008"
"Lleida","Tasa de nacimientos","0.424","2008"
"La Rioja","Tasa de nacimientos","0.315","2008"
"Lugo","Tasa de nacimientos","0.153","2008"
"Madrid","Tasa de nacimientos","0.39","2008"
"Malaga","Tasa de nacimientos","0.4","2008"
"Murcia","Tasa de nacimientos","0.602","2008"
"Navarra","Tasa de nacimientos","0.444","2008"
"Ourense","Tasa de nacimientos","0.329","2008"
"Asturias","Tasa de nacimientos","0.258","2008"
"Palencia","Tasa de nacimientos","0.183","2008"
"Las Palmas","Tasa de nacimientos","0.424","2008"
"Pontevedra","Tasa de nacimientos","0.134","2008"
"Salamanca","Tasa de nacimientos","0.329","2008"
"Tenerife","Tasa de nacimientos","0.27","2008"
"Cantabria","Tasa de nacimientos","0.18","2008"
"Segovia","Tasa de nacimientos","0.526","2008"
"Sevilla","Tasa de nacimientos","0.459","2008"
"Soria","Tasa de nacimientos","0.419","2008"
"Tarragona","Tasa de nacimientos","0.33","2008"
"Teruel","Tasa de nacimientos","0.127","2008"
"Toledo","Tasa de nacimientos","0.349","2008"
"Valencia","Tasa de nacimientos","0.381","2008"
"Valladolid","Tasa de nacimientos","0.397","2008"
"Bizkaia","Tasa de nacimientos","0.242","2008"
"Zamora","Tasa de nacimientos","0.213","2008"
"Zaragoza","Tasa de nacimientos","0.313","2008"
"Ceuta","Tasa de nacimientos","0.539","2008"
"Melilla","Tasa de nacimientos","0.483","2008"
"España","Tasa de nacimientos","0.353","2008"
"Álava","Total de nacimientos","22","2009"
"Albacete","Total de nacimientos","46","2009"
"Alicante","Total de nacimientos","176","2009"
"Almería","Total de nacimientos","117","2009"
"Ávila","Total de nacimientos","14","2009"
"Badajoz","Total de nacimientos","76","2009"
"Baleares","Total de nacimientos","82","2009"
"Barcelona","Total de nacimientos","375","2009"
"Burgos","Total de nacimientos","30","2009"
"Cáceres","Total de nacimientos","25","2009"
"Cádiz","Total de nacimientos","178","2009"
"Castellón","Total de nacimientos","40","2009"
"Ciudad Real","Total de nacimientos","59","2009"
"Córdoba","Total de nacimientos","83","2009"
"A Coruña","Total de nacimientos","51","2009"
"Cuenca","Total de nacimientos","20","2009"
"Girona","Total de nacimientos","54","2009"
"Granada","Total de nacimientos","106","2009"
"Guadalajara","Total de nacimientos","16","2009"
"Gipuzkoa","Total de nacimientos","23","2009"
"Huelva","Total de nacimientos","71","2009"
"Huesca","Total de nacimientos","21","2009"
"Jaén","Total de nacimientos","95","2009"
"León","Total de nacimientos","28","2009"
"Lleida","Total de nacimientos","31","2009"
"La Rioja","Total de nacimientos","24","2009"
"Lugo","Total de nacimientos","16","2009"
"Madrid","Total de nacimientos","561","2009"
"Malaga","Total de nacimientos","150","2009"
"Murcia","Total de nacimientos","246","2009"
"Navarra","Total de nacimientos","33","2009"
"Ourense","Total de nacimientos","14","2009"
"Asturias","Total de nacimientos","46","2009"
"Palencia","Total de nacimientos","5","2009"
"Las Palmas","Total de nacimientos","114","2009"
"Pontevedra","Total de nacimientos","24","2009"
"Salamanca","Total de nacimientos","24","2009"
"Tenerife","Total de nacimientos","83","2009"
"Cantabria","Total de nacimientos","26","2009"
"Segovia","Total de nacimientos","17","2009"
"Sevilla","Total de nacimientos","275","2009"
"Soria","Total de nacimientos","5","2009"
"Tarragona","Total de nacimientos","56","2009"
"Teruel","Total de nacimientos","8","2009"
"Toledo","Total de nacimientos","54","2009"
"Valencia","Total de nacimientos","244","2009"
"Valladolid","Total de nacimientos","49","2009"
"Bizkaia","Total de nacimientos","56","2009"
"Zamora","Total de nacimientos","6","2009"
"Zaragoza","Total de nacimientos","63","2009"
"Ceuta","Total de nacimientos","19","2009"
"Melilla","Total de nacimientos","12","2009"
"España","Total de nacimientos","4069","2009"
"Álava","Tasa de nacimientos","0.306","2009"
"Albacete","Tasa de nacimientos","0.356","2009"
"Alicante","Tasa de nacimientos","0.321","2009"
"Almería","Tasa de nacimientos","0.534","2009"
"Ávila","Tasa de nacimientos","0.31","2009"
"Badajoz","Tasa de nacimientos","0.326","2009"
"Baleares","Tasa de nacimientos","0.271","2009"
"Barcelona","Tasa de nacimientos","0.268","2009"
"Burgos","Tasa de nacimientos","0.333","2009"
"Cáceres","Tasa de nacimientos","0.2","2009"
"Cádiz","Tasa de nacimientos","0.442","2009"
"Castellón","Tasa de nacimientos","0.243","2009"
"Ciudad Real","Tasa de nacimientos","0.344","2009"
"Córdoba","Tasa de nacimientos","0.31","2009"
"A Coruña","Tasa de nacimientos","0.194","2009"
"Cuenca","Tasa de nacimientos","0.317","2009"
"Girona","Tasa de nacimientos","0.265","2009"
"Granada","Tasa de nacimientos","0.349","2009"
"Guadalajara","Tasa de nacimientos","0.233","2009"
"Gipuzkoa","Tasa de nacimientos","0.141","2009"
"Huelva","Tasa de nacimientos","0.438","2009"
"Huesca","Tasa de nacimientos","0.368","2009"
"Jaén","Tasa de nacimientos","0.389","2009"
"León","Tasa de nacimientos","0.246","2009"
"Lleida","Tasa de nacimientos","0.276","2009"
"La Rioja","Tasa de nacimientos","0.29","2009"
"Lugo","Tasa de nacimientos","0.214","2009"
"Madrid","Tasa de nacimientos","0.332","2009"
"Malaga","Tasa de nacimientos","0.304","2009"
"Murcia","Tasa de nacimientos","0.535","2009"
"Navarra","Tasa de nacimientos","0.197","2009"
"Ourense","Tasa de nacimientos","0.197","2009"
"Asturias","Tasa de nacimientos","0.204","2009"
"Palencia","Tasa de nacimientos","0.116","2009"
"Las Palmas","Tasa de nacimientos","0.342","2009"
"Pontevedra","Tasa de nacimientos","0.097","2009"
"Salamanca","Tasa de nacimientos","0.268","2009"
"Tenerife","Tasa de nacimientos","0.276","2009"
"Cantabria","Tasa de nacimientos","0.189","2009"
"Segovia","Tasa de nacimientos","0.387","2009"
"Sevilla","Tasa de nacimientos","0.45","2009"
"Soria","Tasa de nacimientos","0.211","2009"
"Tarragona","Tasa de nacimientos","0.256","2009"
"Teruel","Tasa de nacimientos","0.204","2009"
"Toledo","Tasa de nacimientos","0.256","2009"
"Valencia","Tasa de nacimientos","0.348","2009"
"Valladolid","Tasa de nacimientos","0.382","2009"
"Bizkaia","Tasa de nacimientos","0.221","2009"
"Zamora","Tasa de nacimientos","0.134","2009"
"Zaragoza","Tasa de nacimientos","0.257","2009"
"Ceuta","Tasa de nacimientos","0.642","2009"
"Melilla","Tasa de nacimientos","0.408","2009"
"España","Tasa de nacimientos","0.314","2009"
"Álava","Total de nacimientos","9","2010"
"Albacete","Total de nacimientos","38","2010"
"Alicante","Total de nacimientos","159","2010"
"Almería","Total de nacimientos","96","2010"
"Ávila","Total de nacimientos","7","2010"
"Badajoz","Total de nacimientos","70","2010"
"Baleares","Total de nacimientos","77","2010"
"Barcelona","Total de nacimientos","308","2010"
"Burgos","Total de nacimientos","30","2010"
"Cáceres","Total de nacimientos","31","2010"
"Cádiz","Total de nacimientos","173","2010"
"Castellón","Total de nacimientos","43","2010"
"Ciudad Real","Total de nacimientos","54","2010"
"Córdoba","Total de nacimientos","90","2010"
"A Coruña","Total de nacimientos","39","2010"
"Cuenca","Total de nacimientos","16","2010"
"Girona","Total de nacimientos","47","2010"
"Granada","Total de nacimientos","77","2010"
"Guadalajara","Total de nacimientos","13","2010"
"Gipuzkoa","Total de nacimientos","22","2010"
"Huelva","Total de nacimientos","66","2010"
"Huesca","Total de nacimientos","12","2010"
"Jaén","Total de nacimientos","78","2010"
"León","Total de nacimientos","19","2010"
"Lleida","Total de nacimientos","26","2010"
"La Rioja","Total de nacimientos","27","2010"
"Lugo","Total de nacimientos","16","2010"
"Madrid","Total de nacimientos","455","2010"
"Malaga","Total de nacimientos","132","2010"
"Murcia","Total de nacimientos","211","2010"
"Navarra","Total de nacimientos","36","2010"
"Ourense","Total de nacimientos","8","2010"
"Asturias","Total de nacimientos","49","2010"
"Palencia","Total de nacimientos","7","2010"
"Las Palmas","Total de nacimientos","98","2010"
"Pontevedra","Total de nacimientos","29","2010"
"Salamanca","Total de nacimientos","21","2010"
"Tenerife","Total de nacimientos","72","2010"
"Cantabria","Total de nacimientos","17","2010"
"Segovia","Total de nacimientos","13","2010"
"Sevilla","Total de nacimientos","231","2010"
"Soria","Total de nacimientos","9","2010"
"Tarragona","Total de nacimientos","52","2010"
"Teruel","Total de nacimientos","10","2010"
"Toledo","Total de nacimientos","51","2010"
"Valencia","Total de nacimientos","205","2010"
"Valladolid","Total de nacimientos","27","2010"
"Bizkaia","Total de nacimientos","56","2010"
"Zamora","Total de nacimientos","12","2010"
"Zaragoza","Total de nacimientos","65","2010"
"Ceuta","Total de nacimientos","15","2010"
"Melilla","Total de nacimientos","19","2010"
"España","Total de nacimientos","3543","2010"
"Álava","Tasa de nacimientos","0.124","2010"
"Albacete","Tasa de nacimientos","0.302","2010"
"Alicante","Tasa de nacimientos","0.293","2010"
"Almería","Tasa de nacimientos","0.441","2010"
"Ávila","Tasa de nacimientos","0.158","2010"
"Badajoz","Tasa de nacimientos","0.31","2010"
"Baleares","Tasa de nacimientos","0.254","2010"
"Barcelona","Tasa de nacimientos","0.218","2010"
"Burgos","Tasa de nacimientos","0.333","2010"
"Cáceres","Tasa de nacimientos","0.256","2010"
"Cádiz","Tasa de nacimientos","0.438","2010"
"Castellón","Tasa de nacimientos","0.262","2010"
"Ciudad Real","Tasa de nacimientos","0.321","2010"
"Córdoba","Tasa de nacimientos","0.346","2010"
"A Coruña","Tasa de nacimientos","0.151","2010"
"Cuenca","Tasa de nacimientos","0.262","2010"
"Girona","Tasa de nacimientos","0.228","2010"
"Granada","Tasa de nacimientos","0.258","2010"
"Guadalajara","Tasa de nacimientos","0.185","2010"
"Gipuzkoa","Tasa de nacimientos","0.132","2010"
"Huelva","Tasa de nacimientos","0.416","2010"
"Huesca","Tasa de nacimientos","0.212","2010"
"Jaén","Tasa de nacimientos","0.328","2010"
"León","Tasa de nacimientos","0.171","2010"
"Lleida","Tasa de nacimientos","0.229","2010"
"La Rioja","Tasa de nacimientos","0.321","2010"
"Lugo","Tasa de nacimientos","0.223","2010"
"Madrid","Tasa de nacimientos","0.268","2010"
"Malaga","Tasa de nacimientos","0.27","2010"
"Murcia","Tasa de nacimientos","0.458","2010"
"Navarra","Tasa de nacimientos","0.211","2010"
"Ourense","Tasa de nacimientos","0.115","2010"
"Asturias","Tasa de nacimientos","0.222","2010"
"Palencia","Tasa de nacimientos","0.168","2010"
"Las Palmas","Tasa de nacimientos","0.295","2010"
"Pontevedra","Tasa de nacimientos","0.119","2010"
"Salamanca","Tasa de nacimientos","0.241","2010"
"Tenerife","Tasa de nacimientos","0.243","2010"
"Cantabria","Tasa de nacimientos","0.125","2010"
"Segovia","Tasa de nacimientos","0.291","2010"
"Sevilla","Tasa de nacimientos","0.381","2010"
"Soria","Tasa de nacimientos","0.387","2010"
"Tarragona","Tasa de nacimientos","0.235","2010"
"Teruel","Tasa de nacimientos","0.258","2010"
"Toledo","Tasa de nacimientos","0.241","2010"
"Valencia","Tasa de nacimientos","0.295","2010"
"Valladolid","Tasa de nacimientos","0.209","2010"
"Bizkaia","Tasa de nacimientos","0.22","2010"
"Zamora","Tasa de nacimientos","0.275","2010"
"Zaragoza","Tasa de nacimientos","0.265","2010"
"Ceuta","Tasa de nacimientos","0.5","2010"
"Melilla","Tasa de nacimientos","0.627","2010"
"España","Tasa de nacimientos","0.275","2010"
"Álava","Total de nacimientos","16","2011"
"Albacete","Total de nacimientos","31","2011"
"Alicante","Total de nacimientos","145","2011"
"Almería","Total de nacimientos","104","2011"
"Ávila","Total de nacimientos","9","2011"
"Badajoz","Total de nacimientos","69","2011"
"Baleares","Total de nacimientos","71","2011"
"Barcelona","Total de nacimientos","301","2011"
"Burgos","Total de nacimientos","19","2011"
"Cáceres","Total de nacimientos","20","2011"
"Cádiz","Total de nacimientos","122","2011"
"Castellón","Total de nacimientos","45","2011"
"Ciudad Real","Total de nacimientos","49","2011"
"Córdoba","Total de nacimientos","69","2011"
"A Coruña","Total de nacimientos","32","2011"
"Cuenca","Total de nacimientos","14","2011"
"Girona","Total de nacimientos","39","2011"
"Granada","Total de nacimientos","80","2011"
"Guadalajara","Total de nacimientos","11","2011"
"Gipuzkoa","Total de nacimientos","15","2011"
"Huelva","Total de nacimientos","50","2011"
"Huesca","Total de nacimientos","14","2011"
"Jaén","Total de nacimientos","70","2011"
"León","Total de nacimientos","28","2011"
"Lleida","Total de nacimientos","33","2011"
"La Rioja","Total de nacimientos","16","2011"
"Lugo","Total de nacimientos","9","2011"
"Madrid","Total de nacimientos","521","2011"
"Malaga","Total de nacimientos","131","2011"
"Murcia","Total de nacimientos","209","2011"
"Navarra","Total de nacimientos","27","2011"
"Ourense","Total de nacimientos","11","2011"
"Asturias","Total de nacimientos","40","2011"
"Palencia","Total de nacimientos","6","2011"
"Las Palmas","Total de nacimientos","75","2011"
"Pontevedra","Total de nacimientos","30","2011"
"Salamanca","Total de nacimientos","19","2011"
"Tenerife","Total de nacimientos","66","2011"
"Cantabria","Total de nacimientos","16","2011"
"Segovia","Total de nacimientos","11","2011"
"Sevilla","Total de nacimientos","166","2011"
"Soria","Total de nacimientos","1","2011"
"Tarragona","Total de nacimientos","53","2011"
"Teruel","Total de nacimientos","3","2011"
"Toledo","Total de nacimientos","53","2011"
"Valencia","Total de nacimientos","180","2011"
"Valladolid","Total de nacimientos","51","2011"
"Bizkaia","Total de nacimientos","38","2011"
"Zamora","Total de nacimientos","9","2011"
"Zaragoza","Total de nacimientos","56","2011"
"Ceuta","Total de nacimientos","15","2011"
"Melilla","Total de nacimientos","21","2011"
"España","Total de nacimientos","3289","2011"
"Álava","Tasa de nacimientos","0.217","2011"
"Albacete","Tasa de nacimientos","0.251","2011"
"Alicante","Tasa de nacimientos","0.272","2011"
"Almería","Tasa de nacimientos","0.485","2011"
"Ávila","Tasa de nacimientos","0.203","2011"
"Badajoz","Tasa de nacimientos","0.314","2011"
"Baleares","Tasa de nacimientos","0.236","2011"
"Barcelona","Tasa de nacimientos","0.213","2011"
"Burgos","Tasa de nacimientos","0.214","2011"
"Cáceres","Tasa de nacimientos","0.172","2011"
"Cádiz","Tasa de nacimientos","0.317","2011"
"Castellón","Tasa de nacimientos","0.276","2011"
"Ciudad Real","Tasa de nacimientos","0.299","2011"
"Córdoba","Tasa de nacimientos","0.273","2011"
"A Coruña","Tasa de nacimientos","0.126","2011"
"Cuenca","Tasa de nacimientos","0.231","2011"
"Girona","Tasa de nacimientos","0.189","2011"
"Granada","Tasa de nacimientos","0.274","2011"
"Guadalajara","Tasa de nacimientos","0.156","2011"
"Gipuzkoa","Tasa de nacimientos","0.088","2011"
"Huelva","Tasa de nacimientos","0.318","2011"
"Huesca","Tasa de nacimientos","0.252","2011"
"Jaén","Tasa de nacimientos","0.309","2011"
"León","Tasa de nacimientos","0.259","2011"
"Lleida","Tasa de nacimientos","0.288","2011"
"La Rioja","Tasa de nacimientos","0.189","2011"
"Lugo","Tasa de nacimientos","0.128","2011"
"Madrid","Tasa de nacimientos","0.309","2011"
"Malaga","Tasa de nacimientos","0.273","2011"
"Murcia","Tasa de nacimientos","0.456","2011"
"Navarra","Tasa de nacimientos","0.155","2011"
"Ourense","Tasa de nacimientos","0.164","2011"
"Asturias","Tasa de nacimientos","0.185","2011"
"Palencia","Tasa de nacimientos","0.149","2011"
"Las Palmas","Tasa de nacimientos","0.23","2011"
"Pontevedra","Tasa de nacimientos","0.128","2011"
"Salamanca","Tasa de nacimientos","0.223","2011"
"Tenerife","Tasa de nacimientos","0.227","2011"
"Cantabria","Tasa de nacimientos","0.119","2011"
"Segovia","Tasa de nacimientos","0.251","2011"
"Sevilla","Tasa de nacimientos","0.279","2011"
"Soria","Tasa de nacimientos","0.043","2011"
"Tarragona","Tasa de nacimientos","0.239","2011"
"Teruel","Tasa de nacimientos","0.079","2011"
"Toledo","Tasa de nacimientos","0.254","2011"
"Valencia","Tasa de nacimientos","0.263","2011"
"Valladolid","Tasa de nacimientos","0.399","2011"
"Bizkaia","Tasa de nacimientos","0.15","2011"
"Zamora","Tasa de nacimientos","0.213","2011"
"Zaragoza","Tasa de nacimientos","0.232","2011"
"Ceuta","Tasa de nacimientos","0.499","2011"
"Melilla","Tasa de nacimientos","0.679","2011"
"España","Tasa de nacimientos","0.259","2011"
"Álava","Total de nacimientos","13","2012"
"Albacete","Total de nacimientos","41","2012"
"Alicante","Total de nacimientos","136","2012"
"Almería","Total de nacimientos","96","2012"
"Ávila","Total de nacimientos","10","2012"
"Badajoz","Total de nacimientos","62","2012"
"Baleares","Total de nacimientos","70","2012"
"Barcelona","Total de nacimientos","278","2012"
"Burgos","Total de nacimientos","23","2012"
"Cáceres","Total de nacimientos","20","2012"
"Cádiz","Total de nacimientos","133","2012"
"Castellón","Total de nacimientos","37","2012"
"Ciudad Real","Total de nacimientos","48","2012"
"Córdoba","Total de nacimientos","58","2012"
"A Coruña","Total de nacimientos","39","2012"
"Cuenca","Total de nacimientos","10","2012"
"Girona","Total de nacimientos","37","2012"
"Granada","Total de nacimientos","80","2012"
"Guadalajara","Total de nacimientos","9","2012"
"Gipuzkoa","Total de nacimientos","21","2012"
"Huelva","Total de nacimientos","49","2012"
"Huesca","Total de nacimientos","7","2012"
"Jaén","Total de nacimientos","55","2012"
"León","Total de nacimientos","27","2012"
"Lleida","Total de nacimientos","27","2012"
"La Rioja","Total de nacimientos","20","2012"
"Lugo","Total de nacimientos","17","2012"
"Madrid","Total de nacimientos","447","2012"
"Malaga","Total de nacimientos","111","2012"
"Murcia","Total de nacimientos","174","2012"
"Navarra","Total de nacimientos","31","2012"
"Ourense","Total de nacimientos","9","2012"
"Asturias","Total de nacimientos","48","2012"
"Palencia","Total de nacimientos","9","2012"
"Las Palmas","Total de nacimientos","74","2012"
"Pontevedra","Total de nacimientos","35","2012"
"Salamanca","Total de nacimientos","17","2012"
"Tenerife","Total de nacimientos","70","2012"
"Cantabria","Total de nacimientos","16","2012"
"Segovia","Total de nacimientos","11","2012"
"Sevilla","Total de nacimientos","155","2012"
"Soria","Total de nacimientos","3","2012"
"Tarragona","Total de nacimientos","56","2012"
"Teruel","Total de nacimientos","4","2012"
"Toledo","Total de nacimientos","55","2012"
"Valencia","Total de nacimientos","193","2012"
"Valladolid","Total de nacimientos","38","2012"
"Bizkaia","Total de nacimientos","44","2012"
"Zamora","Total de nacimientos","6","2012"
"Zaragoza","Total de nacimientos","49","2012"
"Ceuta","Total de nacimientos","13","2012"
"Melilla","Total de nacimientos","15","2012"
"España","Total de nacimientos","3106","2012"
"Álava","Tasa de nacimientos","0.172","2012"
"Albacete","Tasa de nacimientos","0.334","2012"
"Alicante","Tasa de nacimientos","0.254","2012"
"Almería","Tasa de nacimientos","0.449","2012"
"Ávila","Tasa de nacimientos","0.229","2012"
"Badajoz","Tasa de nacimientos","0.289","2012"
"Baleares","Tasa de nacimientos","0.232","2012"
"Barcelona","Tasa de nacimientos","0.194","2012"
"Burgos","Tasa de nacimientos","0.259","2012"
"Cáceres","Tasa de nacimientos","0.176","2012"
